Loaded HAL Components:
ID      Type  Name                                            PID   State
    32  RT    hm2_eth                                               ready

Component Pins:
Owner   Type  Dir         Value  Name
    32  s32   OUT    2097900000  hm2_7i76e.0.0.debug
    32  float OUT             0  hm2_7i76e.0.7i76.0.0.analogin0
    32  float OUT             0  hm2_7i76e.0.7i76.0.0.analogin1
    32  float OUT             0  hm2_7i76e.0.7i76.0.0.analogin2
    32  float OUT             0  hm2_7i76e.0.7i76.0.0.analogin3
    32  s32   OUT             0  hm2_7i76e.0.7i76.0.0.enc0.count
    32  bit   I/O         FALSE  hm2_7i76e.0.7i76.0.0.enc0.index-enable
    32  float OUT             0  hm2_7i76e.0.7i76.0.0.enc0.position
    32  s32   OUT             0  hm2_7i76e.0.7i76.0.0.enc0.rawcounts
    32  bit   I/O         FALSE  hm2_7i76e.0.7i76.0.0.enc0.reset
    32  s32   OUT             0  hm2_7i76e.0.7i76.0.0.enc1.count
    32  bit   I/O         FALSE  hm2_7i76e.0.7i76.0.0.enc1.index-enable
    32  float OUT             0  hm2_7i76e.0.7i76.0.0.enc1.position
    32  s32   OUT             0  hm2_7i76e.0.7i76.0.0.enc1.rawcounts
    32  bit   I/O         FALSE  hm2_7i76e.0.7i76.0.0.enc1.reset
    32  float OUT      6.061909  hm2_7i76e.0.7i76.0.0.fieldvoltage
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-00
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-00-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-01
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-01-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-02
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-02-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-03
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-03-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-04
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-04-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-05
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-05-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-06
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-06-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-07
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-07-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-08
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-08-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-09
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-09-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-10
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-10-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-11
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-11-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-12
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-12-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-13
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-13-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-14
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-14-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-15
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-15-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-16
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-16-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-17
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-17-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-18
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-18-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-19
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-19-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-20
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-20-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-21
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-21-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-22
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-22-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-23
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-23-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-24
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-24-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-25
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-25-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-26
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-26-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-27
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-27-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-28
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-28-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-29
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-29-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-30
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-30-not
    32  bit   OUT         FALSE  hm2_7i76e.0.7i76.0.0.input-31
    32  bit   OUT          TRUE  hm2_7i76e.0.7i76.0.0.input-31-not
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-00
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-01
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-02
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-03
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-04
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-05
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-06
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-07
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-08
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-09
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-10
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-11
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-12
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-13
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-14
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.output-15
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.spindir
    32  bit   IN          FALSE  hm2_7i76e.0.7i76.0.0.spinena
    32  float IN              0  hm2_7i76e.0.7i76.0.0.spinout
    32  float IN            -50  hm2_7i76e.0.dpll.01.timer-us
    32  float IN            100  hm2_7i76e.0.dpll.02.timer-us
    32  float IN            100  hm2_7i76e.0.dpll.03.timer-us
    32  float IN            100  hm2_7i76e.0.dpll.04.timer-us
    32  float IN       0.952381  hm2_7i76e.0.dpll.base-freq-khz
    32  u32   OUT    0x0000002A  hm2_7i76e.0.dpll.ddsize
    32  float OUT    -0.8136242  hm2_7i76e.0.dpll.phase-error-us
    32  u32   IN     0x00400000  hm2_7i76e.0.dpll.plimit
    32  u32   OUT    0x00000019  hm2_7i76e.0.dpll.prescale
    32  u32   IN     0x000007D0  hm2_7i76e.0.dpll.time-const
    32  s32   OUT             0  hm2_7i76e.0.encoder.00.count
    32  s32   OUT             0  hm2_7i76e.0.encoder.00.count-latched
    32  bit   I/O         FALSE  hm2_7i76e.0.encoder.00.index-enable
    32  bit   OUT         FALSE  hm2_7i76e.0.encoder.00.input-a
    32  bit   OUT         FALSE  hm2_7i76e.0.encoder.00.input-b
    32  bit   OUT          TRUE  hm2_7i76e.0.encoder.00.input-index
    32  bit   IN          FALSE  hm2_7i76e.0.encoder.00.latch-enable
    32  bit   IN          FALSE  hm2_7i76e.0.encoder.00.latch-polarity
    32  float OUT             0  hm2_7i76e.0.encoder.00.position
    32  float OUT             0  hm2_7i76e.0.encoder.00.position-latched
    32  bit   OUT         FALSE  hm2_7i76e.0.encoder.00.quad-error
    32  bit   IN          FALSE  hm2_7i76e.0.encoder.00.quad-error-enable
    32  s32   OUT             0  hm2_7i76e.0.encoder.00.rawcounts
    32  s32   OUT             0  hm2_7i76e.0.encoder.00.rawlatch
    32  bit   IN          FALSE  hm2_7i76e.0.encoder.00.reset
    32  float OUT             0  hm2_7i76e.0.encoder.00.velocity
    32  float OUT             0  hm2_7i76e.0.encoder.00.velocity-rpm
    32  bit   IN          FALSE  hm2_7i76e.0.encoder.hires-timestamp
    32  u32   IN     0x017D7840  hm2_7i76e.0.encoder.sample-frequency
    32  bit   OUT         FALSE  hm2_7i76e.0.gpio.000.in
    32  bit   OUT          TRUE  hm2_7i76e.0.gpio.000.in_not
    32  bit   OUT         FALSE  hm2_7i76e.0.gpio.001.in
    32  bit   OUT          TRUE  hm2_7i76e.0.gpio.001.in_not
    32  bit   OUT         FALSE  hm2_7i76e.0.gpio.002.in
    32  bit   OUT          TRUE  hm2_7i76e.0.gpio.002.in_not
